customer_id,recency_days,frequency,monetary,cluster
12346,326,12,77556.46,1
12347,3,8,4921.530000000001,1
12348,76,5,2019.4,2
12349,19,4,4428.69,1
12350,311,1,334.40000000000003,0
12351,376,1,300.93,0
12352,37,10,2849.84,1
12353,205,2,406.75999999999993,2
12354,233,1,1079.4,2
12355,215,2,947.6099999999999,2
12356,23,6,6371.73,1
12357,34,3,18287.65999999999,1
12358,2,5,3887.0700000000006,1
12359,58,10,8873.39,1
12360,53,8,4252.889999999999,1
12361,288,4,511.25,2
12362,4,11,5356.23,1
12363,110,2,552.0,2
12364,8,4,1313.1,2
12365,292,2,641.38,2
12366,634,1,500.24,0
12367,5,1,168.9,2
12368,629,1,917.6999999999999,0
12369,414,3,1791.1499999999999,0
12370,52,7,4316.559999999999,1
12371,45,5,4067.38,1
12372,72,3,1298.04,2
12373,312,3,1127.65,2
12374,26,4,2989.2200000000003,2
12375,11,2,457.50000000000006,2
12376,390,2,503.15,0
12377,316,4,3426.3199999999997,2
12378,130,2,5416.3200000000015,2
12379,82,4,1620.22,2
12380,22,11,9676.300000000001,1
12381,5,5,1845.31,2
12383,185,5,1850.56,2
12384,29,2,585.27,2
12385,380,1,1938.3999999999999,0
12386,338,2,401.90000000000003,0
12387,416,1,143.94,0
12388,16,8,3901.110000000001,1
12389,403,3,1433.3299999999997,0
12390,80,1,549.8399999999999,2
12391,22,6,2724.84,1
12392,592,1,234.75000000000003,0
12393,73,6,2399.45,1
12394,64,2,1272.48,2
12395,20,15,4721.169999999999,1
12396,675,1,931.4300000000006,0
12397,36,2,2409.8999999999996,2
12398,46,1,1635.6599999999999,2
12399,120,7,1962.3000000000002,1
12400,415,1,205.25,0
12401,304,1,84.3,0
12402,324,6,1256.8999999999999,2
12403,50,2,1019.3600000000001,2
12404,683,1,63.24,0
12405,149,1,1710.3900000000006,2
12406,23,5,6390.360000000001,1
12407,50,5,1708.1200000000001,2
12408,33,8,4340.77,1
12409,79,7,23419.29,1
12410,309,3,1013.7099999999999,2
12411,410,1,346.9,0
12412,75,6,2596.9300000000003,1
12413,67,4,999.45,2
12414,218,6,952.4100000000001,2
12415,25,28,144458.37,1
12416,657,1,202.56,0
12417,4,20,6797.41,1
12418,113,4,2021.1999999999998,2
12419,386,2,503.01,0
12420,64,1,600.3900000000001,2
12421,16,6,1098.6000000000001,2
12422,96,17,5231.8,1
12423,1,10,2622.3900000000003,1
12424,163,4,3340.0300000000007,2
12425,79,2,1741.41,2
12426,195,2,1345.21,2
12427,22,3,825.8000000000002,2
12428,26,9,7956.459999999998,1
12429,10,8,6204.41,1
12430,44,1,256.4,2
12431,36,27,10432.220000000003,1
12432,43,5,5059.320000000001,1
12433,1,10,16794.14,1
12434,85,3,1103.4299999999998,2
12435,80,6,13925.929999999998,1
12436,100,1,509.01000000000005,2
12437,2,39,12683.4,1
12438,15,2,2906.85,2
12439,683,2,1142.8800000000003,0
12440,463,2,859.2000000000003,0
12441,367,1,173.55,0
12442,4,1,172.06,2
12443,733,1,485.31000000000006,0
12444,22,5,5005.459999999999,1
12445,23,2,434.98,2
12446,58,1,1002.3099999999998,2
12447,244,1,476.49,2
12448,45,1,449.4500000000001,2
12449,23,6,4835.89,1
12450,157,5,688.2,2
12451,11,8,12669.88,1
12452,17,2,430.57000000000005,2
12453,135,1,707.0899999999999,2
12454,57,5,16679.78,1
12455,74,10,5879.949999999999,1
12456,45,3,3181.04,2
12457,67,8,2995.91,1
12458,72,4,1777.4900000000002,2
12459,606,1,454.3599999999999,0
12460,457,1,326.65,0
12461,95,2,826.8800000000001,2
12462,19,2,1189.59,2
12463,54,4,1344.7799999999995,2
12464,11,8,1212.05,1
12465,18,2,742.19,2
12466,683,1,56.73,0
12467,424,1,132.79999999999998,0
12468,188,5,3670.7400000000002,1
12469,523,2,3070.54,0
12470,690,1,211.95000000000002,0
12471,3,79,39918.18999999999,1
12472,33,19,16249.290000000003,1
12473,30,5,3928.05,1
12474,18,31,12372.75,1
12475,54,2,1149.64,2
12476,16,23,14083.91,1
12477,23,9,20276.370000000003,1
12478,4,1,680.9900000000002,2
12479,12,1,527.2,2
12480,29,7,5464.85,1
12481,23,15,12185.509999999998,1
12482,577,29,23691.399999999994,1
12483,18,19,5097.18,1
12484,33,12,6354.1,1
12485,530,1,708.0999999999999,0
12486,432,1,1037.2800000000002,0
12487,731,1,285.29999999999995,0
12488,10,3,1298.66,2
12489,337,1,334.92999999999995,0
12490,6,21,9823.64,1
12491,39,1,460.4000000000001,2
12492,64,3,715.21,2
12493,166,2,433.74,2
12494,16,9,1815.27,1
12495,641,1,357.4,0
12496,621,2,45.339999999999996,0
12497,82,3,6248.499999999998,1
12498,22,3,403.7,2
12499,561,1,393.71999999999997,0
12500,24,19,5955.21,1
12501,337,1,2169.3899999999994,0
12502,96,5,3723.8699999999994,1
12503,585,1,1126.0,0
12504,19,4,779.05,2
12505,409,1,955.2,0
12506,233,1,73.50000000000003,0
12507,135,4,1844.06,2
12508,27,2,397.88000000000005,2
12509,285,1,176.5,0
12510,143,9,5178.0199999999995,1
12511,429,1,3084.0200000000004,0
12512,67,2,132.18000000000006,2
12513,113,1,612.2900000000001,2
12514,268,2,1597.7600000000002,2
12515,354,1,383.7,0
12516,78,4,2648.62,2
12517,29,5,2481.6000000000004,1
12518,1,5,2056.8899999999994,2
12519,64,2,716.54,2
12520,80,5,2634.260000000001,1
12521,143,1,599.6800000000001,2
